ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
153,Аналитик данных junior,ЭР-Телеком,Пермь,,"Курирование источников данных, которые интегрированы в озеро данных. Анализ данных по требованию бизнес-юнитов. Контроль качества данных. Создание и совершенствование...",2025-06-24
154,"Frontend-разработчик (Desktop Applications, C++, Qt)",Новые Технологии Телекоммуникаций (ООО НПП НТТ),Санкт-Петербург,,"Разработка и поддержка desktop-приложений на C++/Qt. Рефакторинг и отладка кода. Взаимодействие с командой (разработчики, тестировщики). Написание документации и...",2025-06-26
155,Специалист по тестированию,Крафтвэй Корпорэйшн ПЛС (ГК Росатом),Москва,,"Проверка демосистем и выставочных комплектов. Проверка документации на соответствие функциональности ПО. Опционально: QA Lead, Написание автотестов (python) и скриптов (bash...",2025-06-09
156,Junior Python-разработчик,Учреждение Кокшетауский университет имени Абая Мырзахметова,Кокшетау,,,2025-06-26
157,DevOps (junior),ИК СИБИНТЕК,Москва,,"...стек платформы: Kubernetes, Ansible, Terraform, Gitlab CI, Argo CD, Prometheus, Linux, Vault, Harbor, Nexus, VictoriaMetrics, Grafana, ELK,Ceph, Helm, Python.",2025-06-23
158,Python разработчик (Middle),БАРС Груп,Казань,,,2025-06-24
159,Python-разработчик,amoCRM,Москва,None,Разработка автоматизаций по поддержке работы отдела QA. Разработка и поддержка автотестов на основе Python + Selenium. Взаимодействие с командами эксплуатации...,2025-06-23
160,Тестировщик ПО (QA-инженер),Концерн Созвездие,Москва,140000,"Функциональное тестирование ПО (Windows/Linux, C/C++, Qt). Интеграционное тестирование сложных клиент-серверных систем. Разработка и поддержка тест-кейсов, тест...",2025-05-29
161,Senior python разработчик,Аренадата Софтвер,Москва,,Разрабатывать и поддерживать высоконагруженные приложения на основе Python и FastAPI. Осуществлять интеграцию с внешними сервисами и API. Оптимизировать производительность и...,2025-06-24
162,Chief Technology Officer (CTO),HAAS PLATFORM,Москва,,"Определять и реализовывать техническую стратегию компании, учитывая рост продукта в сторону систем лояльности и работы с поставщиками. - Возглавить внедрение технологий...",2025-06-20
163,Backend-разработчик (Python),RENTA-COR,Ташкент,,Разработка и поддержка серверной части веб-приложений на Python. Интеграция с внешними API и сервисами. Оптимизация и улучшение производительности существующих...,2025-06-25
164,Middle+/Senior Python Developer,ДЖАСТ ВОРК,Воронеж,200000,Разрабатываете на Python на уровне Middle+. Готовы погрузиться в масштабные проекты и искать необычные пути решения задач.,2025-06-26
165,Junior/Middle Quality Assurance,SATVA-DEV,Ташкент,,"Gitlab, CI/CD. Для работы над проектами в сфере организации грузоперевозок и в области медицины. Обязанности: Ручное тестирование web и...",2025-06-24
166,QA engineer Junior+,Генотек,Москва,100000,"Анализировать требования к разрабатываемым приложениям. Создавать и актуализировать документацию по тестированию (тест-кейсы, отчеты по тестированию, баг-репорты). ",2025-06-10
167,Аналитик данных,Финансовые и бухгалтерские консультанты,Москва,,...долгосрочным программам вознаграждений. Подготовка актуарных заключений и отчетности по МСФО 19. Постепенный переход от Excel к автоматизированным расчетам на Python.,2025-06-26
168,Помошник системного администратора,Сабнет,Махачкала,50000,"Настройка и обслуживание активного сетевого оборудования (управляемые коммутаторы L2, L3). - Настройка абонентского оборудования (роутеры, IpTV-приставки, видеокамеры и...",2025-06-24
169,Старший QA инженер,Геомирагро,Москва,,Участие в тестировании основного проекта компании. Настраивание тестирования вместе с руководителем на проекте МЕТА. Коммуникации с руководителем проекта МЕТА и...,2025-06-25
170,Head of Operations,Skyeng,Москва,,"Выстроить и оптимизировать Back-офис: наладить операционные процессы, документооборот, контроль исполнения задач. Курировать юридические аспекты: лицензирование, аккредитация, взаимодействие между юрлицами...",2025-06-23
171,Junior Data Scientist,ЭПАМ Системз,Гродно,,Identify business problems. Find the right data and methods to address them. Build and validate analytical models. Present the findings...,2025-06-04
172,Senior Backend Python программист,TopTechHiring,Санкт-Петербург,320000,"Участие в планировании и оценке сроков выполнения задач. Backend: Python (используется типизация), SQLAlchemy, FastAPI, kafka. CI/CD: gitlab. БД: PostgreSQL.",2025-06-25
173,Backend-разработчик,Кибертех,Москва,200000,Разработка и поддержка сервисов на Python: создание высокопроизводительных и масштабируемых приложений с использованием FastAPI и асинхронных паттернов. Проектирование и реализация...,2025-06-10
174,Аналитик данных/Data Analyst,HuntIT,Санкт-Петербург,,"Разработка методологии проведения A/B-тестирования внутри компании (дизайн, контроль проведения, способы проверки статистической значимости, подведение итоговых результатов). ",2025-06-17
175,Team Lead,Davines Russia,Москва,None,"Администрирование серверов на базе Windows и Linux, виртуализация (Hyper-V, VMware). Настройка отказоустойчивых решений, мониторинг (Zabbix, PRTG), резервное копирование (Veeam...",2025-06-20
176,Middle/Senior Python-разработчик,Rooom`s,Алматы,,Доработка и поддержка скриптов на Python для загрузки товаров в backend сайта (платформа Vendure). Поддержка и развитие скриптов для синхронизации...,2025-06-23
177,Data Analyst / Аналитик данных (Умные устройства),СберЗдоровье,Москва,,"Изучать данные и искать точки роста, стремиться работать проактивно и не ждать пока бизнес принесет задачу. Создавать и развивать аналитические...",2025-06-23
178,Manual QA Engineer,Affilyx (ООО Здоровье Онлайн),Москва,None,"Ручное тестирование Web и Android приложений. - Проверка новых фич, регрессия, smoke/sanity тесты. - Заведение и верификация багов (Jira / Linear). - ",2025-06-25
179,Аналитик данных / Junior Data Analyst,Оптима Банк,Бишкек,None,"Погружаться в бизнес-кейсы и трансформировать запросы бизнеса в конкретные задачи. Определять источники данных, проверять их качество и выгружать необходимую...",2025-06-25
180,Data Scientist,Народный банк Казахстана,Алматы,,"Комплексный анализ продуктов, операций и бизнес-процессов, выявление закономерностей и потенциальных рисков. Разработка и внедрение аналитических моделей для мониторинга и...",2025-06-26
181,Backend-разработчик Python,Микрокредитная Компания Небус,Москва,,Написание микросервисных приложений с использование FastAPI + SqlAlchemy + Pydantic. Поддержка и развитие существующих микросервисов. Интеграция с другими сервисам и...,2025-06-16
182,QA инженер,Жизньмарт,Екатеринбург,,Заниматься тестированием наших клиентский приложений и backend части. Актуализировать тестовую документацию. Тесно взаимодействовать со смежными отделами: разработка и дизайн.,2025-06-05
183,Backend разработчик python (junior),BND LLC,Москва,None,Поддержка существующих и разработка новых Backend сервисов и компонент (веб-приложения и инфраструктурные сервисы для систем видеоаналитики). Анализ требований и...,2025-06-26
184,Python разработчик (Middle+ / Senior),X5 Tech,Москва,,"Х5 Технологии — это отдельная бизнес-единица Х5 Group, которая отвечает за создание комплексных цифровых решений для бизнес-единиц...",2025-06-24
185,QA Manual Engineer,Киберпротект,Москва,,"Выявление и анализ ошибок и проблем, возникающих у пользователей при работе с программными продуктами. Документирование найденных дефектов и контроль их...",2025-06-22
186,Front-End разработчик,Science Data Software,Тбилиси,1000,,2025-06-24
187,Аналитик моделирования ценовых стратегий,Азбука вкуса,Москва,,"Выработка и проверка гипотез влияния факторов на ценовую стратегию, для поиска эффективного способа достижения целей компании. Оптимизация и автоматизация процесса...",2025-06-16
188,Бэкенд-разработчик в команду инфраструктуры (Dev),АВИТО ТЕХ,Москва,,Юнит IAAS занимается разработкой платформы для управления инфраструктурой Авито. Это единый продукт для централизованного управления оборудованием и инфраструктурными сервисами (сетевое...,2025-06-19
189,Senior DevOps Engineer,АМТЕХ,Москва,,"Kubernetes (развертывание с нуля, helm-чарты, манифесты), Docker (сборка контейнеров). Мониторинг и логи: Prometheus, Grafana, Loki/Zabbix, Fluentd/Promtail.",2025-05-30
190,Frontend-разработчик (React),CoMagic.dev,Москва,,"Оценка и декомпозиция поставленных задач. Разработка и реализация новых интерфейсов и функционала. Доработка действующего UX, исправление багов. Оптимизация и поддержание...",2025-06-24
191,Python (FastAPI/Django) Developer,CONSORT TAS,Ташкент,2500,"Разработка backend-части нового продукта на FastAPI (асинхронно). Интеграция с внешними сервисами и микросервисами (RabbitMQ, Redis). Проектирование архитектуры, бизнес-логики...",2025-06-22
192,Vibe‑Coding разработчик‑олимпиадник,Agiens,Москва,,Дебажить вайбкод в четыре руки с фаундером. Строить системы ИИ-агентов для платформы вайбкодинга организаций. Работа на передовой превращения технологий...,2025-06-17
193,Python-разработчик,AERODISK,Москва,,Разрабатывать программное обеспечение преимущественно на языке Python. Заниматься оптимизацией производительности и времени выполнения кода. Составлять техническую документацию к программным изделиям. ,2025-06-25
194,"Python Developer (Computer Vision, ML) — Middle / Senior",ЗЕБРА,Москва,4000,"Разработка CV-модулей для видеоаналитики в реальном времени (детекция, трекинг). Интеграция ML-моделей с внешними API (GraphQL / REST). ",2025-06-26
195,Инженер R&D,Cloud.ru,Москва,,"Исследовать, разрабатывать и внедрять AI-агентов для автоматизации задач AppSec (анализ уязвимостей, triage, мониторинг). Исследовать и оценивать новые подходы (ML...",2025-06-09
196,Backend разработчик,Бэнкс Софт Системс,Москва,,Техническая обвязка сервисов. Backend: FastAPI. Базы данных: PostgreSQL. Контейнеризация и деплой: Docker (используется для запуска LVP-версий проектов на тестовых...,2025-06-25
197,Специалист по цифровым технологиям аудита,Сбербанк России,Москва,Зарплата не указана,"Команда внутреннего аудита анализирует внутренние процессы компании и помогает Сберу стать лучше. Для этого используем современные методы обработки данных: Process Mining, Speech-to-text, Computer Vision, Natural Language Processing.
Ищем в команду начинающих Data Analysts, Data Scientists и Data Engineers.
Вакансия для начинающих специалистов, которые хотят построить карьеру в IT и развиваться в одной из крупнейших технологических компаний.
ЧТО МЫ ПРЕДЛАГАЕМ:
• ежегодный пересмотр зарплаты и годовую премию
• корпоративный спортзал и зоны отдыха
• уникальную систему обучения Сбера для профессионального и карьерного развития
• расширенный ДМС и льготное страхование для семьи
• ипотеку для сотрудников выгоднее до 4%
• бесплатную подписку СберПрайм+, скидки на продукты компаний-партнеров
• вознаграждение за рекомендацию друзей в команду Сбера
• корпоративную пенсионную программу.
ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:
• исследовать и анализировать большие неструктурированные объемы информации
• участвовать в аудиторских проверках по всем направлениям работы Сбера
• подготавливать рекомендации по улучшению процессов банка.
МЫ ЖДЁМ, ЧТО ТЫ:
• имеешь оконченное высшее образование или студент старших курсов
• можешь обрабатывать данные с помощью SQL
• хочешь развить знания Python (мы используем pandas, pm4py, matplotlib, numpy, sklearn, keras, tensorflow)
• готов уделять работе от 20 до 40 часов в неделю.",2025-06-26
198,Администратор баз данных,Т1,Москва,Зарплата не указана,"Основные задачи, которые предстоит решать:
• Поиск решения проблем самостоятельно и/или с участием вендора.
• Настройка производительность СУБД ArenaDataDB ( GreenPlum), анализ работы запросов и ETL.
• Настройка мониторинга БД.
• Организация и сопровождение Резервного копирования СУБД ArenaDataDB ( GreenPlum).
• Анализ причин инцидентов самостоятельно и/или с привлечением вендора.
• Разработка мероприятий по предотвращению инцидентов самостоятельно и с привлечением вендора.
• Выполнение профилактических и регламентных мероприятий.
• Планирование и контроль выполнения релизов OS и системного ПО.
• Разработка и внедрение технологических инструкций и стандартов конфигураций.
• Контроль регистрации информации об изменения конфигурации системы.
• Постановка задачи по параметром и метрикам мониторинга.
• Автоматизация процедур, входящих в периодические обязанности администраторов кластера Аренадата БД ArenaDataDB ( GreenPlum)
Что для этого потребуется:
• Опыт работы в сфере ИТ от 5-ти лет.
• Уверенное знание СУБД ArenaDataDB ( GreenPlum) или PostgreSQL.
• Опыт установки, настройки и оптимизации СУБД ArenaDataDB ( GreenPlum) или других аналитических СУБД.
• Знание принципов построения аналитических БД.
• Уверенное знание Linux.
• Опыт работы с ETL/DWH – приветствуются.
• Знание bash / shell / python на уровне написания сценариев автоматизации.
Мы предлагаем:
• Оформление по ТК РФ (бессрочный трудовой договор);
• Удаленный формат работы;
• Пакет льгот для сотрудников от наших партнеров: ДМС (после испытательного срока 3 месяца) + льготное ДМС для родственников;
• Конкурентная зарплата по итогам интервью, наличие премиальной составляющей;
• Необходимая техника и софт для работы, компенсируем расходы на мобильную связь;
• Широкие возможности внутреннего и внешнего обучения, тематические митапы и технические сообщества, языковые клубы;
• Скидки и купоны от сотен компаний-партнёров на единой платформе, льготное кредитование и страхование.",2025-06-26
199,Технический писатель IFT,ПАО Сбербанк,Совхоз им. Ленина,40000 - 60000 rub,"Ищем аналитика данных в канал виртуальный ассистент IVR. Мы занимаемся проектированием диалоговых сценариев и обучением виртуальных ассистентов банковским навыкам и консультационным услугам.
Релевантный опыт от 2-х лет;
Знания статистики для работы с гипотезами и доверительными интервалами;
Опыт проведения а/б тестов; Умение работать с большими массивами данных;
Навыки презентации и визуализации;
Владение SQL, Spark, Python для обработки и анализа данных.
Будет плюсом: Опыт работы с QlikView;
Опыт работы с библиотеками (nltk/gensim), т.к. иногда придется работать с текстовыми данными;
Опыт работы с Колл Центрами и автоматизацией обслуживания обращений
Анализ воронок клиентских путей в продуктах;
Выявление триггеров при взаимодействии с банком, влияющих на поведение клиентов в ботах;
Проведение и анализ продуктовых пилотов;
Построение дашбордов/отчетов;
Взаимодействие с командами BigData в Банке в части обмена опытом
Профессиональное обучение, семинары, тренинги, конференции;
Годовые премии; ДМС, сниженные ставки по кредитованию, программы лояльности для сотрудников;
Самые инновационные, амбициозные проекты и задачи;
Комфортный офис Sbergile Home с просторными опенспейсами, лаунж зонами, кафе, рестораном и оборудованными кухнями;
Бесплатный фитнес-зал;
Место работы БЦ Президент Плаза (м. Кутузовская).",2025-06-25
200,Стажер-аналитик ИТ,Т-Банк: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Связывать бизнес и ИТ: трансформирует требования бизнеса в требования к ИТ-системам
• Проектировать и описывать технические решения
• Собирать бизнес-требования для создания отчетности
• Анализировать данные и создавать витрины для дашбордов: GreenPlum, Python
• Делать прототипы и создавать дашборды в Proteus
• Создавать таблицы и витрины в корпоративном хранилище данных DWH
• Готовить прототипы процесса загрузки данных ETL: Extract, Transform, Load
• Разрабатывать дополнительные витрины данных по запросу коллег
Мы ожидаем:
• Уверенно владеете SQL, имели такой предмет в вузе, проходили курсы или обучались самостоятельно
• Хорошо знаете математику, понимаете, что такое теория вероятности
• Навыки работы в Python, программах визуализации и различных базах данных будут преимуществом
Мы предлагаем:
• Оплачиваемая стажировка для начинающих специалистов. Можно работать от 20 часов в неделю, удаленно или в офисе",2025-06-26
201,Педагог программирования робототехники,ГБОУ СОШ № 134,Санкт-Петербург,Зарплата не указана,"Обязанности:
• Проводит обучение студентов в соответствии с требованиями государственных образовательных стандартов, разрабатывает рабочую программу, календарно-тематический план, снабжает образовательный процесс учебно-методическим комплексом.
Требования:
• Работа с виртуальной трехмерной средой для обучения робототехнике через программирования цифровых роботов: КУЛИБИН
• Свободное программирование на С++ и Python в рамках школьной программы
• Высшее образование по профилю или переподготовка 
• Справка об отсутствии судимости.
• Курсы ФГОС (не ранее 3- лет)
• Курсы 1 помощь
• Мед. книжка.
• Гражданство - РФ, регистрация - СПб
• Уверенный пользователь ПК.
начало работы: с 01.09.2025
Условия:
• Нагрузка - по договоренности (полная или по совместительству)
• Суббота - выходной",2025-06-26
202,Стажер-исследователь,Google,Москва,Зарплата не указана,"Обязанности:
• Участвуйте в исследованиях по разработке решений реальных крупномасштабных проблем; работать над проектами, которые исследуют инновационные исследовательские задачи

Требования:
• Студенты бакалавриата или магистратуры в области компьютерных наук, лингвистики, статистики, биостатистики, прикладной математики, исследования операций, экономики, естественных наук или смежной технической области; 
• Навыки владения языками программирования и английский язык; 
• Опыт работы в одной области компьютерных наук (например, понимание естественного языка, взаимодействие человека с компьютером, компьютерное зрение, машинное обучение, глубокое обучение, алгоритмические основы оптимизации, квантовая информатика, наука о данных, программная инженерия или аналогичные области)
• Желательно: Опыт работы исследователем, включая стажировки, полную занятость или работу в лаборатории. Опыт участия в исследовательских сообществах или проектах, включая публикацию статей на крупных конференциях или в журналах. 
• Опыт работы с одним или несколькими языками программирования общего назначения (например, Python, Java, JavaScript, C/C++ и т. д.).

Условия:
• Дедлайн подачи документов 11.07.2025
• Гибкий график, продолжительности есть возможность и очно/удаленно.",2025-06-26
203,Стажер в отдел управления продуктами,Samsung,Москва,Зарплата не указана,"Обязанности:
• Объединение, запрос на одобрение и настройка ежемесячных рекламных акций
• Разработка инструментов для анализа данных и/или автоматизации отчетов с использованием Python
• Отслеживание использования бюджета на продвижение и руководство процессом возврата средств
• Предоставление данных и информации о коммерческих инвестициях
• Поддержка команды BI с обработкой данных и отчетностью

Требования:
• Образование в сфере Бизнес-администрирования
• английский язык; 
• студент или выпускник бакалавриата; 
• Microsoft SQL Server;
• Microsoft Excel; 
• Python; 
• Data Analysis

Условия:
• Период 05.05.25-01.11.26
• Дедлайн подачи документов 04.05.2025
• Стажировка платная 36 900 руб
• Оплачиваемая стажировка 1 540$ в месяц
• Компьютер будет предоставлен
• График работы: с понедельника по пятницу 8:00 - 18:00",2025-06-26
204,Стажер по направлению Data Science,Сбер: Старт карьеры,Владивосток,до 66100 rub,"Оплачиваемая стажировка по направлению «Data Science» от Сбера!
Присоединяйся к команде Risk Modelling&Research, применяй методы Data Science и машинного обучения для разработки и развития моделей управления рисками.
В рамках стажировки тебе предстоит:
• заниматься анализом данных;
• обучать модели;
• проводить оценку качества моделей на реальных задачах риск-менеджмента.
 Необходимые навыки:
• математическая статистика;
• SQL;
• Python;
• Data Science.
 Мы предлагаем:
• стажировка от 3 до 6 месяцев с возможностью перехода в штат;
• гибкий график и возможность совмещать с учебой: от 20 до 40 часов в неделю;
• зарплата пропорционально количеству часов (66 100 рублей в месяц при работе 40 часов в неделю);
• возможность пройти обучение по интересующим тебя направлениям soft и hard skills в виртуальной школе Сбера и на специальных тренингах;
• лучшие стажеры могут получить оффер и начать строить успешную карьеру.
• Мы ждем именно тебя!",2025-06-26
205,Стажер Machine Learning Engineer,ООО Вконтакте:Старт,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Улучшение качества рекомендаций и ранжирования контента.
• Анализ поведения пользователей, выдвижение гипотез и проверка их с помощью A/B-тестов.
• Работа с большими данными: сбор, обработка, извлечение фич.
• Участие во внедрении моделей в продакшен — вместе с наставником писать и оптимизировать код.
• Изучение технологий и подходов, которые лежат в основе рекомендательных систем.
• Написание кода на Python и (или) Java.
Необходимые навыки:
• Базовые знания машинного обучения и матстата (знакомство с задачами рекомендаций, ранжирования и эмбеддингов будет плюсом).
• Знание алгоритмов и структур данных.
• Навыки программирования на Python и (или) Java.
• Умение работать с данными — SQL, Pandas и другие инструменты.
• Готовность учиться, проявлять инициативу и задавать вопросы.
Мы предлагаем:
• Команда: ведущие эксперты индустрии, готовые делиться своим опытом.
• Проекты и задачи: мы реализуем более 200 технологических продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы.
• Профессиональное развитие: проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, спортивный зал с тренажёрами.
• Командный досуг: вместе проходим мастер-классы и тимбилдинги на свежем воздухе, смотрим кино и, конечно, танцуем на VK Fest.
• Офис в пяти минутах от метро, крытый паркинг, велопарковка, а летом ― прокат велосипедов, лонгбордов и самокатов.",2025-06-26
206,Стажер YANDEX RESEARCH ML RESIDENCY,Яндекс: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Запуск А/Б-тестов
• Сбор датасетов для обучения моделей
• Построение метрик и дашбордов
• Проверка качества метрик и многое другое

Необходимые навыки:


• Навыки программирования на Python или С++, достаточные для проведения экспериментов
• Интерес к чтению и аналитике научных публикаций
• Хотите развиваться как учёный в области современного ML


Мы предлагаем:

• Трудовой договор на год с лабораторией Яндекса в ВШЭ с возможностью продления
• Гибридный и гибкий график
• Работа в московском офисе Яндекса
• Компенсация обедов
• Доступ к внутренним ресурсам и возможностям компании",2025-06-26
207,"Стажер-инженер по автоматизации тестирования, QA Auto Python, API, Ozon Bank",OZON: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Участвовать в организации и улучшении процессов тестирования вместе с командой QA;
• Тестировать сервисы (в основном back-end);
• Совершенствовать уже существующие автотесты, создавать новые и развивать инфраструктуру для них.


Необходимые навыки:


• Вы знаете основные принципы тестирования и автоматизации;
• Умеете писать автотесты или скрипты на Python;
• Знаете техники тест-дизайна;
• Знаете Git и Bash на базовом уровне.",2025-06-26
208,Стажер Data Analyst (Еком направление),Wildberries: Старт карьеры,Москва,Зарплата не указана,"Что нужно делать

• Анализ данных (Clickhouse, PostgreSQL) и их интерпретация, создание запросов и дашбордов для формирования отчетности, работа с массивами данных;
• Подготовка технической документации;
• Работа, как с e-com, так и с обычными событиями;
• Формирование агрегированных данных с помощью Apache Airflow;
• Коммуникация с коллегами из соседних команд, планирование анализа нового функционала;
• Формирование ТЗ на разметку событий в web/app для продуктов компании;
• Работа с рекламными данными Анализ источников трафика (включая utm) с помощью моделей атрибуции;
• Мониторинг и поддержка актуальности поступаемых данных в БД;
• Участие в процессе внедрения систем web/app аналитики;
• Участие в формировании списка продуктовых гипотез и их тестировании;
• Описание продуктовых метрик для ключевых точек на клиенте.
Какой опыт и знания нужны
• Опыт работы дата аналитиком от 2,5 лет;
• Опыт работы Web аналитиком;
• Опыт работа с Clickhouse, Apache Airflow;
• Уверенные знания Python и SQL.",2025-06-26
209,Системный администратор,Социальный фонд России,Москва,Зарплата не указана,"Обязанности:
• Администрирование и поддержка инфраструктуры ЦОД;
• Обеспечение высокой доступности сервисов, поиск и устранение проблем в функционировании инфраструктуры и сервисов, разработка мероприятий по их предотвращению;
• Автоматизация задач администрирования
• Поддержание в актуальном состоянии технической эксплуатационной документации;
• Выполнение пуско -наладочных работ по развертыванию оборудования и ПО,
• Мониторинг оборудования, развитие системы мониторинга;
• Организовывать регламентные и аварийно-восстановительные работы (при поддержке отдела технической поддержки и сотрудников службы эксплуатации);
• Рассмотрение технической документации, написание ТЗ подготовка предложений для модернизации ЦОД;
• Взаимодействие с поставщиками услуг;
• Взаимодействие и контроль выполнения работ внешних подрядных организаций;
• Взаимодействие с центрами технической поддержки производителей для решения технических вопросов;
• Взаимодействие со смежными отделами компании для решения задач;
• Участие в ИТ-проектах по развитию и модернизации ЦОД а также смежных ИТ-проектах, обеспечивая поддержку проекта на уровне инфраструктуры ЦОД;
• Проработка перехода на отечественное оборудование.
Требования:
• Опыт работы на аналогичной должности не менее 1,5 лет;
• Уверенные знания устройства операционных систем и навыки администрирования Linux/Unix, Windows;
• Опыт написания скриптов на одном из языков (bash/python/powershell)
• Опыт эксплуатации любой из платформ виртуализации (VMWare, oVirt, proxmox etc)
• Базовое понимание модели OSI, знание семейства протоколов TCP/IP‚ сетевых сервисов (DHCP, DNS и др), работы сетевых экранов;
• Опыт в составлении ТЗ, документировании схем (Visio, Draw io или др).
• Soft skills: усидчивость, внимательность, проактивность;
• Техническая грамотность: работа с технической и сервисной документацией.
• Английский язык на уровне чтения технической документации.
• Умение быстро вникать в работу нового оборудования, иметь желание обучаться.
• Большим плюсом будет знание и опыт администрирования СХД любых производителей (IBM/HP/EMC и др)
• Знание и опыт работы с любыми системами мониторинга;
• Знание и опыт работы с любыми системами резервного копирования;
• Знание и опыт работы с MS AD/FreeIPA;
• Навыки владения любой из систем управления конфигурацией (Ansible, Puppet);
• Знание и практический опыт работы с серверным оборудование одного или более производителей x86 (IBM/HP/Yadro);
• Базовые навыки администрирования БД (Oracle/DB2/PostgreSQL etc) и базовые знания SQL;
• Знание и опыт работы с со стеками ELK, LAMP (Web, nginx, etc);
• Знание и опыт работы с SAN-сетями и протоколами: FC, FCoE, iSCSI
• Знание английского языка (чтение технической документации);
• Знания современной архитектуры серверного оборудования.
• Приветствуется наличие сертификатов;
Условия:
• место работы в Москве. Удаленного формата работы НЕТ. 
• стабильная зарплата (2 раза в месяц) + премии;
• оформление, отпуск, больничный и пр. - по ТК РФ;
• возможность быстрого профессионального и карьерного роста;
• отличная материальная база для профессионального развития;
• возможность обучения за счет работодателя;
• возможно предоставление отсрочки от мобилизации по брони.",2025-06-26
