ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
32,Стажер-разработчик,Prime Source,Алматы,150000,"Разработка, развитие и поддержка Аналитической системы.",2025-06-02
33,Python-разработчик (стажер/junior),ФГАНУ НИИ Спецвузавтоматика,Ростов-на-Дону,40000,Разрабатывать проекты на ЯП python и фреймворке Django/FastAPI. Реальная бронь сотрудников от мобилизации. Высокая степень свободы принятия технических решений. ,2025-06-24
34,Middle+ Python Backend Developer,Mymeet.ai,Москва,190000,"Поддерживать работоспособность сервиса mymeet.ai. Дебаг, ресерч и фикс ошибок. Реализация нового функционала. Оптимизация существующего кода и улучшение производительности.",2025-06-26
35,Java Developer (middle),Московский филиал АО ЦентрИнформ,Москва,180000,"Мы используем современные подходы к разработке на основе Java, Python, kafka, Spark, Clickhouse, Vertica . Мы используем гибкие методологии и DevOps...",2025-06-24
36,Разработчик Python (Junior+),ГУП Московский социальный регистр,Москва,,"Поддержка и расширение функционала внутренней аналитической системы. Реализация функционала, который должен исполняться на стороне клиента. Написание микросервисов для обработки информации...",2025-06-25
37,Аналитик данных,Х5 Group,Москва,,"Участие в проектах по разработке, внедрению и сопровождению модулей информационной Системы мониторинга и выявления злоупотреблений. Эффективное выявление признаков хищений, коррупции...",2025-06-26
38,Тестировщик,Freedom Media,Алматы,,"Написание тест-кейсов, чек-листов, тест-планов, баг-репортов. API Testing: Работа с REST / GraphQL, тестирование GET/POST/PUT/DELETE...",2025-06-26
39,Prompt инженер chatGPT роботов (переписки в Whatsapp Instagram),Алдонгаров,Алматы,200000,Создание AI ассистентов в chatGPT для Whatsapp и Instagram. Поддержка клиентов по разработанным ботам. Тестирование ботов и их оптимизация. ,2025-06-19
40,Python-разработчик,Мовиком Электрик,Москва,None,Разработкой ПО стенда для системного тестирования прошивок BMS. Разработкой/сопровождением облачного сервиса мониторинга промышленных литий-ионных батарей. Разработкой/сопровождением внутреннего...,2025-06-24
41,Python Developer,DEEPEN,Ташкент,12000000,"Software Development: Design, develop, and maintain high-quality Python applications. - Code Review: Conduct thorough code reviews to ensure code quality...",2025-06-25
42,Аналитик данных,JMart,Алматы,None,"Анализировать работу поисковой системы и систем рекомендаций — выявлять узкие места, находить точки роста, формулировать рекомендации. На основе данных строить гипотезы...",2025-06-23
43,Backend-разработчик Python (Django),ФГБОУ ВО Российский университет медицины Минздрава России,Москва,,,2025-06-19
44,Тестировщик (Web и Mobile),Татнефть Цифровые Технологии,Казань,,"Тестирование WEB и мобильных приложений (Android и iOS). Тестирование API. Ведение тестовой документации: баг-репорты, тест-кейсы, чек-листы и...",2025-06-23
45,Trainee | Junior Data Engineer,Банк ЦентрКредит,Алматы,,"...в распределенной среде (Hadoop-экосистема). Разработка и поддержка витрин в бд – сбор, агрегация. Автоматизация процессов обработки данных с использованием Python.",2025-06-26
46,Аналитик данных,Айтиспортс,Москва,100000,"Работа с данными в Excel, Таблицах (сбор, сравнение, анализ, работа с макросами (VBA), формирование рейтингов по различным критериям, сводные таблицы). ",2025-06-17
47,Game Producer (Intern),Darktheme Sudios,Санкт-Петербург,300,Управлять командой разработчиков и создавать собственные игры на Roblox. Руководить проектами от идеи до релиза. Тестировать и внедрять разные стратегии...,2025-05-28
48,Разработчик Python,Первая IT-компания,Новосибирск,60000,Написание backend части веб-сервисов на языке Python для коммерческих проектов. Развертывание веб-приложений на сервере.,2025-06-26
49,С/Python Developer,Криптонит,Москва,,"Разработка приложений, обеспечивающих взаимодействие с сенсорами различной природы (приемопередатчики радио сигналов, видео). Реализация программного обеспечения для управления робототехническими системами. ",2025-06-05
50,QA инженер Software/Hardware,СалютДевайсы,Москва,,"Валидация программных сборок (BIOS, BMC и т.д.). Валидация прошивок для МК в различных подсистемах продуктов компании. Валидация программной совместимости...",2025-06-20
51,Backend Developer (Python) - Junior Level,ОсОО Кино Продакшен,Бишкек,,"Помощь в поддержке и развитии текущих решений: исправление багов написание функций, взаимодействие по REST API. Участие в разработке новых компонентов...",2025-06-11
52,Python developer,eXpress,Москва,,"Разрабатывать и поддерживать новые возможности платформы с учётом высоких нагрузок и безопасности данных. Создавать чат-боты и SmartApps, интегрируя их...",2025-06-26
53,Junior Python developer,Эквариум,Москва,100000,Интеграция с внешними API сторонних систем. Оптимизация работы микросервисов и баз данных. Написание и поддержка unit и интеграционных тестов. ,2025-06-26
54,QA Engineer,АО Асакабанк,Ташкент,,"Разработка и выполнение тестовых планов и тест-кейсов для банковского приложения, включая функциональное, интеграционное, регрессионное и пользовательское тестирование. ",2025-06-24
55,Дата-аналитик,Bereke Bank,Алматы,None,Поддержка одного из продуктов в направлении цифрового привлечения. Написание SQL-запросов и Python-скриптов для аналитики. Ведение регулярной и ad...,2025-06-23
56,Разработчик-стажёр в IT-компанию,Варнавин Андрей Петрович,Чебоксары,60000,Разработка и поддержка IT-решений. Участие в code review. Написание чистого и понятного кода. Работа в команде над новыми фичами. ,2025-06-25
57,Тестировщик,МКК Луна,Москва,,Проведение функционального и регрессионного тестирования. - Автоматизация тестов и создание тестовых сценариев. - Взаимодействие с командой разработчиков для выявления и устранения багов. - ,2025-06-25
58,Python Developer,Аренадата Софтвер,Москва,,"Поддержка и развитие базового фреймворка (который используется сейчас в АренадатаКаталоге) для коннекторов. Разработка с использованием этого фреймворка новых коннекторов, поддержка...",2025-06-05
59,Golang-разработчик,Нитсофт Рус,Санкт-Петербург,,,2025-06-26
60,Backend-разработчик,ВБЦ,Москва,300000,"Разработка серверной логики и API. Оптимизация запросов к базам данных. Интеграция с внешними сервисами. Написание тестов (unit, integration). ",2025-06-24
61,Middle QA,CodeScoring,Санкт-Петербург,,"Написание автотестов на Python (pytest/unittest), интеграция их в CI/CD, поддержка и улучшение тестового фреймворка. Участие в улучшении процессов...",2025-06-20
62,Инженер по тестированию,Bercut,Санкт-Петербург,,"Осуществлять функциональное, регрессионное, нагрузочное и стресс тестирование компонентов платформы и телекоммуникационных систем. Составлять тест-планы, автоматизировать тестовые сценарии. ",2025-06-24
63,Junior Python Dev,FELFRI,Москва,65000,"FELFRI – бренд бытовой техники и электроники, представленный на маркетплейсах (WB, OZON, Яндекс Маркет и др.) и в оффлайн магазинах DNS. ",2025-06-25
64,Python-разработчик,Secunda,Москва,100000,Написание микросервисных приложений с использование FastAPI + SqlAlchemy + Pydantic. Поддержка и развитие существующих микросервисов. Интеграция с другими сервисам и...,2025-06-24
65,Инженер по тестированию / QA Engineer,DSSL,Москва,,"Ручное тестирование сложной web-системы (React+Python backend, мультимодальный анализ видео/аудио, аналитика, отчёты, безопасность). Разработка и поддержка тест-кейсов, чек...",2025-06-24
66,Frontend-разработчик,ВижнЛабс (VisionLabs),Москва,180000,В обязанности входит разработка SPA приложений и web-сервисов для продуктов компании.,2025-06-25
67,Инженер технической поддержки,Латера,Москва,None,настраивать биллинг при внедрении в компаниях по всему миру (без выезда). — поддерживать работу уже внедренного биллинга. — участвовать в решении сложных...,2025-06-25
68,Java/Kotlin Developer (Custom Solutions),Haulmont,Санкт-Петербург,,"Поддержка и улучшение backend-части IDE-плагина, включая как сам плагин, так и компонент сборки. Разработка новых функций и расширение...",2025-06-25
69,Python Developer,STARTRIBE LTD,Москва,,Разработка backend-сервисов для управления инфраструктурой хранения и процессинга данных. Интеграция внутренних и внешних систем в рамках платформы. ,2025-06-25
70,Младший бизнес-аналитик,IBS,Москва,,"Сбор и формализация ФТ. Описание бизнес-процессов и модели данных. Подготовка тестовых сценариев, проведение тестирования. Формирование проектных документов, написание пользовательских...",2025-06-24
71,Junior Python developer,Фомичева Мария Андреевна,Москва,None,"Разрабатывать серверную часть приложений на Python. Создавать и поддерживать REST API с использованием Django REST Framework. Работать с PostgreSQL, писать...",2025-06-23
72,Младший аналитик данных,МКК Финмолл,Москва,90000,"Аналитическая поддержка бизнес-подразделений (по вопросам эффективности работы региональной сети продаж, маркетинга, взыскания). Подготовка отчетов, массивов данных. Разработка новых форм...",2025-06-25
73,Node.js разработчик,НитСофт,Тюмень,,,2025-06-03
74,Data Scientist / Специалист в области машинного обучения,JTI,Москва,,Консультации с бизнес-заказчиками для составления корректного технического задания для моделей машинного обучения. Самостоятельное изучение данных в DWH (внутреннее хранилище...,2025-06-26
